2024-04-10 15:31:46.665 [main] INFO  com.yang.serialport.ui.CarMainFrame - main start:0
2024-04-10 15:37:23.084 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.084 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
2024-04-10 15:37:23.198 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.199 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
2024-04-10 15:37:23.311 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.312 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
2024-04-10 15:37:23.415 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.416 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
2024-04-10 15:37:23.527 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.527 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
2024-04-10 15:37:23.627 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.628 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
2024-04-10 15:37:23.737 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receive dataHexStr:55AA060100EF030404000000009666
2024-04-10 15:37:23.737 [Thread-6] INFO  c.y.s.manager.SerialPortHandler - receiveWorkLineInfoData06 save workLineInfo over:WorkLineInfo : {"id" : "1", currentBeaconCodeStart" : "1007", currentBeaconStartLocation" : "null", currentBeaconCodeEnd" : "1028", currentBeaconEndLocation" : "null", nextBeaconCodeStart" : "0", nextBeaconStartLocation" : "null", nextBeaconCodeEnd" : "0", nextBeaconEndLocation" : "null}
